#Data tag : online , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/fb),recorded(/fb),avgpu,source
402816:11589,109:109,04/11/26 19:14:55,STABLE BEAMS,6799,0.000039211,0.000038362,4.9,HFET
402816:11589,110:110,04/11/26 19:15:18,STABLE BEAMS,6799,0.000039154,0.000038313,4.9,HFET
402816:11589,111:111,04/11/26 19:15:41,STABLE BEAMS,6799,0.000038824,0.000037988,4.8,HFET
402816:11589,112:112,04/11/26 19:16:05,STABLE BEAMS,6799,0.000039973,0.000039094,5.0,HFET
402816:11589,113:113,04/11/26 19:16:28,STABLE BEAMS,6799,0.000039831,0.000038955,5.0,HFET
402816:11589,114:114,04/11/26 19:16:51,STABLE BEAMS,6799,0.000039896,0.000039007,5.0,HFET
402816:11589,115:115,04/11/26 19:17:15,STABLE BEAMS,6799,0.000039933,0.000039048,5.0,HFET
402816:11589,116:116,04/11/26 19:17:38,STABLE BEAMS,6799,0.000040072,0.000039177,5.0,HFET
402816:11589,117:117,04/11/26 19:18:01,STABLE BEAMS,6799,0.000040023,0.000039137,5.0,HFET
402816:11589,118:118,04/11/26 19:18:25,STABLE BEAMS,6799,0.000040291,0.000038836,5.0,HFET
402816:11589,119:119,04/11/26 19:18:48,STABLE BEAMS,6799,0.000040177,0.000039288,5.0,HFET
402816:11589,120:120,04/11/26 19:19:11,STABLE BEAMS,6799,0.000040220,0.000039326,5.0,HFET
402816:11589,121:121,04/11/26 19:19:35,STABLE BEAMS,6799,0.000039967,0.000039096,5.0,HFET
402816:11589,122:122,04/11/26 19:19:58,STABLE BEAMS,6799,0.000040119,0.000039248,5.0,HFET
402816:11589,123:123,04/11/26 19:20:21,STABLE BEAMS,6799,0.000040351,0.000039447,5.0,HFET
402816:11589,124:124,04/11/26 19:20:44,STABLE BEAMS,6799,0.000040215,0.000039315,5.0,HFET
402816:11589,125:125,04/11/26 19:21:08,STABLE BEAMS,6799,0.000040136,0.000039252,5.0,HFET
402816:11589,126:126,04/11/26 19:21:31,STABLE BEAMS,6799,0.000040051,0.000039171,5.0,HFET
402816:11589,127:127,04/11/26 19:21:54,STABLE BEAMS,6799,0.000040330,0.000039431,5.0,HFET
402816:11589,128:128,04/11/26 19:22:18,STABLE BEAMS,6799,0.000040114,0.000039221,5.0,HFET
402816:11589,129:129,04/11/26 19:22:41,STABLE BEAMS,6799,0.000040168,0.000039284,5.0,HFET
402816:11589,130:130,04/11/26 19:23:04,STABLE BEAMS,6799,0.000040112,0.000039225,5.0,HFET
402816:11589,131:131,04/11/26 19:23:28,STABLE BEAMS,6799,0.000040145,0.000038700,5.0,HFET
402816:11589,132:132,04/11/26 19:23:51,STABLE BEAMS,6799,0.000040127,0.000039243,5.0,HFET
402816:11589,133:133,04/11/26 19:24:14,STABLE BEAMS,6799,0.000040185,0.000039305,5.0,HFET
402816:11589,134:134,04/11/26 19:24:38,STABLE BEAMS,6799,0.000039959,0.000039079,5.0,HFET
402816:11589,135:135,04/11/26 19:25:01,STABLE BEAMS,6799,0.000039607,0.000038751,4.9,HFET
402816:11589,136:136,04/11/26 19:25:24,STABLE BEAMS,6799,0.000039568,0.000038716,4.9,HFET
402816:11589,137:137,04/11/26 19:25:47,STABLE BEAMS,6799,0.000039613,0.000038747,4.9,HFET
402816:11589,138:138,04/11/26 19:26:11,STABLE BEAMS,6799,0.000039532,0.000038678,4.9,HFET
